,Assembly,pident,qcovs,Qval,#Organism Name,Organism Groups,Strain,BioSample,BioProject,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
744,GCA_000543565.1,9,11,20,Staphylococcus aureus M0779,Bacteria;Terrabacteria group;Firmicutes,M0779,SAMN02325697,PRJNA216746,Scaffold,2.86316,32.8,,JCOM01,41.0,2719.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/543/565/GCA_000543565.1_Stap_aure_M0779_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/543/565/GCF_000543565.1_Stap_aure_M0779_V1
745,GCA_000543585.1,9,12,21,Staphylococcus aureus M0782,Bacteria;Terrabacteria group;Firmicutes,M0782,SAMN02325698,PRJNA216747,Scaffold,2.9008,32.8,,JCON01,58.0,2777.0,2014-02-04T18:09:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/543/585/GCA_000543585.1_Stap_aure_M0782_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/543/585/GCF_000543585.1_Stap_aure_M0782_V1
746,GCA_000543605.1,9,12,21,Staphylococcus aureus M0783,Bacteria;Terrabacteria group;Firmicutes,M0783,SAMN02325699,PRJNA216748,Scaffold,2.89741,32.8,,JCOO01,59.0,2784.0,2014-02-04T18:09:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/543/605/GCA_000543605.1_Stap_aure_M0783_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/543/605/GCF_000543605.1_Stap_aure_M0783_V1
747,GCA_000543625.1,9,11,20,Staphylococcus aureus M0784,Bacteria;Terrabacteria group;Firmicutes,M0784,SAMN02325700,PRJNA216749,Scaffold,2.89372,32.8,,JCOP01,60.0,2771.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/543/625/GCA_000543625.1_Stap_aure_M0784_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/543/625/GCF_000543625.1_Stap_aure_M0784_V1
748,GCA_000543645.1,9,11,20,Staphylococcus aureus M0785,Bacteria;Terrabacteria group;Firmicutes,M0785,SAMN02325701,PRJNA216750,Scaffold,2.86836,32.8,,JCOQ01,42.0,2731.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/543/645/GCA_000543645.1_Stap_aure_M0785_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/543/645/GCF_000543645.1_Stap_aure_M0785_V1
749,GCA_000543665.1,9,11,20,Staphylococcus aureus M0786,Bacteria;Terrabacteria group;Firmicutes,M0786,SAMN02325702,PRJNA216751,Scaffold,2.86143,32.8,,JCOR01,47.0,2742.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/543/665/GCA_000543665.1_Stap_aure_M0786_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/543/665/GCF_000543665.1_Stap_aure_M0786_V1
750,GCA_000543685.1,9,11,20,Staphylococcus aureus M0788,Bacteria;Terrabacteria group;Firmicutes,M0788,SAMN02325703,PRJNA216752,Scaffold,2.87247,32.8,,JCOS01,61.0,2741.0,2014-02-04T18:13:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/543/685/GCA_000543685.1_Stap_aure_M0788_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/543/685/GCF_000543685.1_Stap_aure_M0788_V1
751,GCA_000543705.1,9,13,22,Staphylococcus aureus M0789,Bacteria;Terrabacteria group;Firmicutes,M0789,SAMN02325704,PRJNA216753,Scaffold,2.91333,32.9,,JCOT01,80.0,2812.0,2014-02-04T18:14:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/543/705/GCA_000543705.1_Stap_aure_M0789_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/543/705/GCF_000543705.1_Stap_aure_M0789_V1
752,GCA_000543725.1,24,17,41,Staphylococcus aureus M0790,Bacteria;Terrabacteria group;Firmicutes,M0790,SAMN02325705,PRJNA216754,Scaffold,2.81058,32.8,,JCOU01,45.0,2642.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/543/725/GCA_000543725.1_Stap_aure_M0790_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/543/725/GCF_000543725.1_Stap_aure_M0790_V1
753,GCA_000543745.1,9,12,21,Staphylococcus aureus M0791,Bacteria;Terrabacteria group;Firmicutes,M0791,SAMN02325706,PRJNA216755,Scaffold,2.91067,32.9,,JCOV01,63.0,2803.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/543/745/GCA_000543745.1_Stap_aure_M0791_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/543/745/GCF_000543745.1_Stap_aure_M0791_V1
754,GCA_000543765.1,9,12,21,Staphylococcus aureus M0793,Bacteria;Terrabacteria group;Firmicutes,M0793,SAMN02325707,PRJNA216756,Scaffold,2.88674,32.8,,JCOW01,40.0,2753.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/543/765/GCA_000543765.1_Stap_aure_M0793_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/543/765/GCF_000543765.1_Stap_aure_M0793_V1
755,GCA_000543785.1,9,11,20,Staphylococcus aureus M0794,Bacteria;Terrabacteria group;Firmicutes,M0794,SAMN02325708,PRJNA216757,Scaffold,2.85519,32.8,,JCOX01,44.0,2727.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/543/785/GCA_000543785.1_Stap_aure_M0794_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/543/785/GCF_000543785.1_Stap_aure_M0794_V1
756,GCA_000543805.1,9,11,20,Staphylococcus aureus M0796,Bacteria;Terrabacteria group;Firmicutes,M0796,SAMN02325709,PRJNA216758,Scaffold,2.95153,32.8,,JCOY01,55.0,2842.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/543/805/GCA_000543805.1_Stap_aure_M0796_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/543/805/GCF_000543805.1_Stap_aure_M0796_V1
757,GCA_000543825.1,9,11,20,Staphylococcus aureus M0798,Bacteria;Terrabacteria group;Firmicutes,M0798,SAMN02325710,PRJNA216759,Scaffold,2.94876,32.8,,JCOZ01,51.0,2835.0,2014-02-04T18:19:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/543/825/GCA_000543825.1_Stap_aure_M0798_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/543/825/GCF_000543825.1_Stap_aure_M0798_V1
758,GCA_000543845.1,3,13,16,Staphylococcus aureus M0800,Bacteria;Terrabacteria group;Firmicutes,M0800,SAMN02325711,PRJNA216760,Scaffold,2.89805,32.7,,JCPA01,83.0,2799.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/543/845/GCA_000543845.1_Stap_aure_M0800_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/543/845/GCF_000543845.1_Stap_aure_M0800_V1
759,GCA_000543865.1,3,13,16,Staphylococcus aureus M0801,Bacteria;Terrabacteria group;Firmicutes,M0801,SAMN02325712,PRJNA216761,Scaffold,2.90568,32.7,,JCPB01,66.0,2794.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/543/865/GCA_000543865.1_Stap_aure_M0801_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/543/865/GCF_000543865.1_Stap_aure_M0801_V1
760,GCA_000543885.1,9,12,21,Staphylococcus aureus M0802,Bacteria;Terrabacteria group;Firmicutes,M0802,SAMN02325713,PRJNA216762,Scaffold,2.92215,32.9,,JCPC01,77.0,2838.0,2014-02-04T18:22:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/543/885/GCA_000543885.1_Stap_aure_M0802_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/543/885/GCF_000543885.1_Stap_aure_M0802_V1
761,GCA_000543905.1,9,11,20,Staphylococcus aureus M0804,Bacteria;Terrabacteria group;Firmicutes,M0804,SAMN02325714,PRJNA216763,Scaffold,2.94261,32.9,,JCPD01,33.0,2805.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/543/905/GCA_000543905.1_Stap_aure_M0804_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/543/905/GCF_000543905.1_Stap_aure_M0804_V1
762,GCA_000543925.1,9,11,20,Staphylococcus aureus M0806,Bacteria;Terrabacteria group;Firmicutes,M0806,SAMN02325716,PRJNA216765,Scaffold,2.86074,32.8,,JCPE01,47.0,2734.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/543/925/GCA_000543925.1_Stap_aure_M0806_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/543/925/GCF_000543925.1_Stap_aure_M0806_V1
763,GCA_000543945.1,9,12,21,Staphylococcus aureus M0807,Bacteria;Terrabacteria group;Firmicutes,M0807,SAMN02325717,PRJNA216766,Scaffold,2.86668,32.8,,JCPF01,53.0,2748.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/543/945/GCA_000543945.1_Stap_aure_M0807_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/543/945/GCF_000543945.1_Stap_aure_M0807_V1
764,GCA_000543965.1,9,14,23,Staphylococcus aureus M0808,Bacteria;Terrabacteria group;Firmicutes,M0808,SAMN02325718,PRJNA216767,Scaffold,2.90633,32.9,,JCPG01,60.0,2772.0,2014-02-04T18:25:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/543/965/GCA_000543965.1_Stap_aure_M0808_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/543/965/GCF_000543965.1_Stap_aure_M0808_V1
765,GCA_000543985.1,9,14,23,Staphylococcus aureus M0809,Bacteria;Terrabacteria group;Firmicutes,M0809,SAMN02325719,PRJNA216768,Scaffold,2.90973,32.9,,JCPH01,66.0,2796.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/543/985/GCA_000543985.1_Stap_aure_M0809_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/543/985/GCF_000543985.1_Stap_aure_M0809_V1
766,GCA_000544005.1,9,11,20,Staphylococcus aureus M0810,Bacteria;Terrabacteria group;Firmicutes,M0810,SAMN02325720,PRJNA216769,Scaffold,2.84488,32.8,,JCPI01,40.0,2727.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/005/GCA_000544005.1_Stap_aure_M0810_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/005/GCF_000544005.1_Stap_aure_M0810_V1
767,GCA_000544025.1,9,12,21,Staphylococcus aureus M0811,Bacteria;Terrabacteria group;Firmicutes,M0811,SAMN02325721,PRJNA216770,Scaffold,2.90265,32.9,,JCPJ01,81.0,2799.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/025/GCA_000544025.1_Stap_aure_M0811_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/025/GCF_000544025.1_Stap_aure_M0811_V1
768,GCA_000544045.1,9,12,21,Staphylococcus aureus M0812,Bacteria;Terrabacteria group;Firmicutes,M0812,SAMN02325722,PRJNA216771,Scaffold,2.89957,32.8,,JCPK01,64.0,2812.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/045/GCA_000544045.1_Stap_aure_M0812_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/045/GCF_000544045.1_Stap_aure_M0812_V1
769,GCA_000544065.1,9,11,20,Staphylococcus aureus M0814,Bacteria;Terrabacteria group;Firmicutes,M0814,SAMN02325723,PRJNA216772,Scaffold,2.87675,32.8,,JCPL01,50.0,2761.0,2014-02-04T18:29:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/065/GCA_000544065.1_Stap_aure_M0814_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/065/GCF_000544065.1_Stap_aure_M0814_V1
770,GCA_000544085.1,9,11,20,Staphylococcus aureus M0817,Bacteria;Terrabacteria group;Firmicutes,M0817,SAMN02325724,PRJNA216773,Scaffold,2.87378,32.8,,JCPM01,38.0,2755.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/085/GCA_000544085.1_Stap_aure_M0817_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/085/GCF_000544085.1_Stap_aure_M0817_V1
771,GCA_000544105.1,9,11,20,Staphylococcus aureus M0818,Bacteria;Terrabacteria group;Firmicutes,M0818,SAMN02325725,PRJNA216774,Scaffold,2.9525,32.9,,JCPN01,71.0,2820.0,2014-02-04T18:30:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/105/GCA_000544105.1_Stap_aure_M0818_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/105/GCF_000544105.1_Stap_aure_M0818_V1
772,GCA_000544125.1,9,11,20,Staphylococcus aureus M0819,Bacteria;Terrabacteria group;Firmicutes,M0819,SAMN02325726,PRJNA216775,Scaffold,2.85346,32.8,,JCPO01,66.0,2716.0,2014-02-04T18:31:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/125/GCA_000544125.1_Stap_aure_M0819_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/125/GCF_000544125.1_Stap_aure_M0819_V1
773,GCA_000544145.1,23,15,38,Staphylococcus aureus M0820,Bacteria;Terrabacteria group;Firmicutes,M0820,SAMN02325727,PRJNA216776,Scaffold,2.81869,32.9,,JCPP01,40.0,2644.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/145/GCA_000544145.1_Stap_aure_M0820_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/145/GCF_000544145.1_Stap_aure_M0820_V1
774,GCA_000544165.1,24,17,41,Staphylococcus aureus M0821,Bacteria;Terrabacteria group;Firmicutes,M0821,SAMN02325728,PRJNA216777,Scaffold,2.73941,32.9,,JCPQ01,32.0,2580.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/165/GCA_000544165.1_Stap_aure_M0821_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/165/GCF_000544165.1_Stap_aure_M0821_V1
775,GCA_000544185.1,9,11,20,Staphylococcus aureus M0824,Bacteria;Terrabacteria group;Firmicutes,M0824,SAMN02325729,PRJNA216778,Scaffold,2.87621,32.9,,JCPR01,25.0,2732.0,2014-02-04T18:33:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/185/GCA_000544185.1_Stap_aure_M0824_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/185/GCF_000544185.1_Stap_aure_M0824_V1
776,GCA_000544205.1,9,11,20,Staphylococcus aureus M0826,Bacteria;Terrabacteria group;Firmicutes,M0826,SAMN02325730,PRJNA216779,Scaffold,2.90006,32.9,,JCPS01,43.0,2749.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/205/GCA_000544205.1_Stap_aure_M0826_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/205/GCF_000544205.1_Stap_aure_M0826_V1
777,GCA_000544225.1,10,11,21,Staphylococcus aureus M0830,Bacteria;Terrabacteria group;Firmicutes,M0830,SAMN02325731,PRJNA216780,Scaffold,2.88247,32.8,,JCPT01,50.0,2751.0,2014-02-04T18:35:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/225/GCA_000544225.1_Stap_aure_M0830_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/225/GCF_000544225.1_Stap_aure_M0830_V1
778,GCA_000544245.1,3,13,16,Staphylococcus aureus M0833,Bacteria;Terrabacteria group;Firmicutes,M0833,SAMN02325733,PRJNA216782,Scaffold,2.92058,32.7,,JCPU01,67.0,2818.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/245/GCA_000544245.1_Stap_aure_M0833_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/245/GCF_000544245.1_Stap_aure_M0833_V1
779,GCA_000544265.1,9,11,20,Staphylococcus aureus M0834,Bacteria;Terrabacteria group;Firmicutes,M0834,SAMN02325734,PRJNA216783,Scaffold,2.86549,32.8,,JCPV01,73.0,2725.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/265/GCA_000544265.1_Stap_aure_M0834_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/265/GCF_000544265.1_Stap_aure_M0834_V1
780,GCA_000544285.1,9,11,20,Staphylococcus aureus M0836,Bacteria;Terrabacteria group;Firmicutes,M0836,SAMN02325735,PRJNA216784,Scaffold,2.88788,32.8,,JCPW01,59.0,2770.0,2014-02-04T18:37:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/285/GCA_000544285.1_Stap_aure_M0836_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/285/GCF_000544285.1_Stap_aure_M0836_V1
781,GCA_000544305.1,10,11,21,Staphylococcus aureus M0837,Bacteria;Terrabacteria group;Firmicutes,M0837,SAMN02325736,PRJNA216785,Scaffold,2.85148,32.8,,JCPX01,47.0,2725.0,2014-02-04T18:38:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/305/GCA_000544305.1_Stap_aure_M0837_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/305/GCF_000544305.1_Stap_aure_M0837_V1
782,GCA_000544325.1,9,11,20,Staphylococcus aureus M0838,Bacteria;Terrabacteria group;Firmicutes,M0838,SAMN02325737,PRJNA216786,Scaffold,2.88354,32.8,,JCPY01,48.0,2749.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/325/GCA_000544325.1_Stap_aure_M0838_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/325/GCF_000544325.1_Stap_aure_M0838_V1
783,GCA_000544345.1,9,11,20,Staphylococcus aureus M0839,Bacteria;Terrabacteria group;Firmicutes,M0839,SAMN02325738,PRJNA216787,Scaffold,2.86148,32.8,,JCPZ01,64.0,2737.0,2014-02-04T18:40:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/345/GCA_000544345.1_Stap_aure_M0839_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/345/GCF_000544345.1_Stap_aure_M0839_V1
784,GCA_000544365.1,9,13,22,Staphylococcus aureus M0840,Bacteria;Terrabacteria group;Firmicutes,M0840,SAMN02325739,PRJNA216788,Scaffold,2.89387,32.8,,JCQA01,49.0,2750.0,2014-02-04T18:40:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/365/GCA_000544365.1_Stap_aure_M0840_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/365/GCF_000544365.1_Stap_aure_M0840_V1
785,GCA_000544385.1,9,12,21,Staphylococcus aureus M0841,Bacteria;Terrabacteria group;Firmicutes,M0841,SAMN02325740,PRJNA216789,Scaffold,2.88947,32.8,,JCQB01,43.0,2762.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/385/GCA_000544385.1_Stap_aure_M0841_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/385/GCF_000544385.1_Stap_aure_M0841_V1
786,GCA_000544405.1,9,12,21,Staphylococcus aureus M0842,Bacteria;Terrabacteria group;Firmicutes,M0842,SAMN02325741,PRJNA216790,Scaffold,2.88487,32.8,,JCQC01,40.0,2763.0,2014-02-04T18:42:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/405/GCA_000544405.1_Stap_aure_M0842_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/405/GCF_000544405.1_Stap_aure_M0842_V1
787,GCA_000544425.1,9,12,21,Staphylococcus aureus M0843,Bacteria;Terrabacteria group;Firmicutes,M0843,SAMN02325742,PRJNA216791,Scaffold,2.8882,32.8,,JCQD01,31.0,2773.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/425/GCA_000544425.1_Stap_aure_M0843_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/425/GCF_000544425.1_Stap_aure_M0843_V1
788,GCA_000544445.1,9,11,20,Staphylococcus aureus M0845,Bacteria;Terrabacteria group;Firmicutes,M0845,SAMN02325743,PRJNA216792,Scaffold,2.8731,32.8,,JCQE01,41.0,2738.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/445/GCA_000544445.1_Stap_aure_M0845_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/445/GCF_000544445.1_Stap_aure_M0845_V1
789,GCA_000544465.1,9,12,21,Staphylococcus aureus M0850,Bacteria;Terrabacteria group;Firmicutes,M0850,SAMN02325746,PRJNA216795,Scaffold,2.92579,32.8,,JCQF01,53.0,2815.0,2014-02-04T18:44:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/465/GCA_000544465.1_Stap_aure_M0850_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/465/GCF_000544465.1_Stap_aure_M0850_V1
790,GCA_000544485.1,9,12,21,Staphylococcus aureus M0851,Bacteria;Terrabacteria group;Firmicutes,M0851,SAMN02325747,PRJNA216796,Scaffold,2.89397,32.8,,JCQG01,68.0,2783.0,2014-02-04T18:45:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/485/GCA_000544485.1_Stap_aure_M0851_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/485/GCF_000544485.1_Stap_aure_M0851_V1
791,GCA_000544505.1,9,12,21,Staphylococcus aureus M0852,Bacteria;Terrabacteria group;Firmicutes,M0852,SAMN02325748,PRJNA216797,Scaffold,2.88443,32.8,,JCQH01,57.0,2787.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/505/GCA_000544505.1_Stap_aure_M0852_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/505/GCF_000544505.1_Stap_aure_M0852_V1
792,GCA_000544525.1,3,13,16,Staphylococcus aureus M0853,Bacteria;Terrabacteria group;Firmicutes,M0853,SAMN02325749,PRJNA216798,Scaffold,2.90406,32.7,,JCQI01,67.0,2807.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/525/GCA_000544525.1_Stap_aure_M0853_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/525/GCF_000544525.1_Stap_aure_M0853_V1
793,GCA_000544545.1,10,11,21,Staphylococcus aureus M0855,Bacteria;Terrabacteria group;Firmicutes,M0855,SAMN02325751,PRJNA216800,Scaffold,2.86976,32.8,,JCQJ01,50.0,2749.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/545/GCA_000544545.1_Stap_aure_M0855_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/545/GCF_000544545.1_Stap_aure_M0855_V1
794,GCA_000544565.1,3,13,16,Staphylococcus aureus M0858,Bacteria;Terrabacteria group;Firmicutes,M0858,SAMN02325753,PRJNA216802,Scaffold,2.89586,32.7,,JCQK01,70.0,2798.0,2014-02-04T18:48:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/565/GCA_000544565.1_Stap_aure_M0858_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/565/GCF_000544565.1_Stap_aure_M0858_V1
795,GCA_000544585.1,9,12,21,Staphylococcus aureus M0861,Bacteria;Terrabacteria group;Firmicutes,M0861,SAMN02325754,PRJNA216803,Scaffold,2.90209,32.8,,JCQL01,67.0,2785.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/585/GCA_000544585.1_Stap_aure_M0861_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/585/GCF_000544585.1_Stap_aure_M0861_V1
796,GCA_000544605.1,9,12,21,Staphylococcus aureus M0862,Bacteria;Terrabacteria group;Firmicutes,M0862,SAMN02325755,PRJNA216804,Scaffold,2.90284,32.9,,JCQM01,51.0,2758.0,2014-02-04T18:49:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/605/GCA_000544605.1_Stap_aure_M0862_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/605/GCF_000544605.1_Stap_aure_M0862_V1
797,GCA_000544625.1,9,11,20,Staphylococcus aureus M0863,Bacteria;Terrabacteria group;Firmicutes,M0863,SAMN02325764,PRJNA216813,Scaffold,2.86372,32.9,,JCQN01,30.0,2709.0,2014-02-04T18:50:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/625/GCA_000544625.1_Stap_aure_M0863_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/625/GCF_000544625.1_Stap_aure_M0863_V1
798,GCA_000544645.1,9,12,21,Staphylococcus aureus M0865,Bacteria;Terrabacteria group;Firmicutes,M0865,SAMN02325766,PRJNA216815,Scaffold,2.89935,32.9,,JCQO01,26.0,2770.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/645/GCA_000544645.1_Stap_aure_M0865_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/645/GCF_000544645.1_Stap_aure_M0865_V1
799,GCA_000544665.1,23,16,39,Staphylococcus aureus M0866,Bacteria;Terrabacteria group;Firmicutes,M0866,SAMN02325767,PRJNA216816,Scaffold,2.80902,32.8,,JCQP01,27.0,2642.0,2014-02-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/544/665/GCA_000544665.1_Stap_aure_M0866_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/544/665/GCF_000544665.1_Stap_aure_M0866_V1
