Assembly, pident, qcovs, Qval,Strain,Size (Mb),WGS,Scaffolds,Genes,Proteins
GCA_000559765.1,0,10,10,W35356,2.87358,JDHZ01,24,3011,2880
GCA_000559785.1,9,12,21,W41918,2.85118,JDIA01,87,2981,2832
GCA_000559805.1,0,10,10,H19520,2.88559,JDIB01,35,3023,2899
GCA_000559825.1,9,11,20,M41648,2.83831,JDIC01,62,2954,2814
GCA_000559845.1,9,11,20,F54452,2.85146,JDID01,66,2982,2836
GCA_000559865.1,0,10,10,F54461,2.88702,JDIE01,24,3021,2890
GCA_000559885.1,9,12,21,F54467,2.85322,JDIF01,65,2963,2812
GCA_000559905.1,9,13,22,F54471,2.90014,JDIG01,82,3040,2873
GCA_000559925.1,10,12,22,F54494,2.8345,JDIH01,72,2976,2819
GCA_000559945.1,10,13,23,H12818,2.73094,JDII01,43,2828,2693
GCA_000559965.1,1,11,12,M52055,2.87626,JDIJ01,2,3024,2867
GCA_000559985.1,0,10,10,W85047,2.88621,JDIK01,26,3017,2894
GCA_000560005.1,0,10,10,H60145,2.87366,JDIL01,2,3021,2871
GCA_000560025.1,10,14,24,F16077,2.76212,JDIM01,51,2884,2726
GCA_000560045.1,9,11,20,F25913,2.83117,JDIN01,64,2992,2806
GCA_000560065.1,2,11,13,T62328,2.84082,JDIO01,35,3004,2829
GCA_000560085.1,2,10,12,M20676,2.83911,JDIP01,29,2995,2833
GCA_000560105.1,0,10,10,T66282,2.87024,JDIQ01,21,3009,2882
GCA_000560125.1,1,11,12,T66286,2.84817,JDIR01,28,3000,2821
GCA_000560145.1,0,10,10,W48872,2.85967,JDIS01,1,3005,2850
GCA_000560165.1,0,11,11,M45245,2.9022,JDIT01,27,3051,2921
GCA_000560185.1,0,10,10,F90608,2.87385,JDIU01,2,3019,2868
GCA_000560205.1,9,12,21,H57070,2.82574,JDIV01,63,2950,2802
GCA_000560225.1,12,14,26,F12874,2.82076,JDIW01,51,2932,2785
GCA_000560245.1,11,12,23,T25611,2.77559,JDIX01,41,2880,2742
GCA_000560265.1,9,11,20,H69239,2.85052,JDIY01,57,2991,2867
GCA_000560285.1,0,10,10,M64164,2.86965,JDIZ01,29,3015,2885
GCA_000560305.1,0,10,10,M67290,2.92133,JDJA01,25,3106,2933
GCA_000560325.1,9,11,20,W18443,2.8622,JDJB01,59,3005,2857
GCA_000560345.1,0,12,12,H75198,2.87238,JDJC01,24,3002,2881
GCA_000560365.1,0,10,10,M64191,2.87691,JDJD01,2,3026,2874
GCA_000560385.1,0,10,10,M70590,2.9303,JDJE01,31,3111,2941
GCA_000560405.1,0,10,10,T34696,2.89946,JDJF01,38,3046,2907
GCA_000560425.1,0,10,10,T34703,2.9162,JDJG01,24,3078,2948
GCA_000560445.1,0,11,11,W21472,2.94308,JDJH01,45,3114,2976
GCA_000560465.1,11,13,24,M73849,2.77462,JDJI01,51,2883,2749
GCA_000560485.1,0,10,10,W24216,2.97856,JDJJ01,44,3161,3012
GCA_000560505.1,0,10,10,H81437,2.87297,JDJK01,2,3026,2872
GCA_000560525.1,10,14,24,T41081,2.83112,JDJL01,70,2950,2794
GCA_000560545.1,10,12,22,T28847,2.83109,JDJM01,62,2953,2798
GCA_000560565.1,10,12,22,H84489,2.74756,JDJN01,51,2846,2717
GCA_000560585.1,0,10,10,H84492,2.87632,JDJO01,2,3030,2877
GCA_000560605.1,2,10,12,H84507,2.85591,JDJP01,23,3000,2863
GCA_000560625.1,10,13,23,F40814,2.82062,JDJQ01,59,2949,2805
GCA_000560645.1,10,14,24,T28854,2.81982,JDJR01,59,2935,2785
GCA_000560665.1,12,13,25,M80333,2.77454,JDJS01,49,2871,2744
GCA_000560685.1,0,10,10,F43676,2.87594,JDJT01,2,3028,2871
GCA_000560705.1,3,10,13,T47181,2.86148,JDJU01,30,3000,2866
GCA_000560725.1,0,10,10,W33796,2.8758,JDJV01,2,3027,2871
GCA_000560745.1,0,11,11,F46632,2.93166,JDJW01,42,3110,2967
GCA_000560765.1,9,11,20,W39902,2.84516,JDJX01,70,2982,2820
GCA_000560785.1,9,12,21,H15665,2.88197,JDJY01,77,3028,2866
GCA_000560805.1,9,11,20,F52748,2.81522,JDJZ01,63,2935,2793
GCA_000560825.1,11,12,23,M12703,2.82933,JDKA01,63,2953,2801
GCA_000560845.1,9,11,20,M12714,2.84765,JDKB01,61,2986,2853
GCA_000560865.1,10,11,21,M12717,2.83517,JDKC01,75,2963,2822
GCA_000560885.1,10,12,22,H87658,2.82292,JDKD01,45,2945,2808
GCA_000560905.1,0,10,10,W42929,2.89264,JDKE01,28,3049,2924
GCA_000560925.1,0,11,11,W42932,2.87162,JDKF01,26,3011,2874
GCA_000560945.1,9,11,20,H18808,2.87953,JDKG01,72,3024,2876
GCA_000560965.1,9,12,21,H18813,2.88479,JDKH01,60,3068,2887
GCA_000560985.1,9,11,20,H18809,2.88887,JDKI01,55,3074,2895
GCA_000561005.1,8,10,18,S72396,2.86564,JDKJ01,63,3022,2856
GCA_000561025.1,11,13,24,M16220,2.78392,JDKK01,46,2887,2752
GCA_000561045.1,9,11,20,H18811,2.88166,JDKL01,58,3028,2879
GCA_000561065.1,0,10,10,H21935,2.87295,JDKM01,2,3022,2869
GCA_000561085.1,0,10,10,H21924,2.90785,JDKN01,18,3070,2940
GCA_000561105.1,1,11,12,F59156,2.83072,JDKO01,26,2946,2815
GCA_000561125.1,10,13,23,T62854,2.79545,JDKP01,48,2931,2763
GCA_000561145.1,0,10,10,W48906,2.90226,JDKQ01,29,3067,2897
GCA_000561165.1,12,15,27,T62848,2.81289,JDKR01,49,2937,2786
GCA_000561185.1,0,10,10,H24884,2.93108,JDKS01,30,3084,2943
GCA_000561205.1,9,12,21,F62007,2.83462,JDKT01,56,2951,2810
GCA_000561225.1,10,12,22,F62010,2.78973,JDKU01,60,2910,2746
GCA_000561245.1,10,13,23,M20894,2.77645,JDKV01,50,2894,2758
GCA_000561265.1,9,12,21,M20913,2.8323,JDKW01,51,2979,2827
GCA_000561285.1,9,11,20,M20916,2.86956,JDKX01,64,3005,2853
GCA_000561305.1,0,10,10,W51776,2.85246,JDKY01,21,2987,2861
GCA_000561325.1,10,11,21,H27739,2.84524,JDKZ01,74,2988,2806
GCA_000561345.1,2,10,12,H27761,2.90974,JDLA01,44,3091,2913
GCA_000561365.1,11,12,23,H27777,2.69849,JDLB01,36,2784,2630
GCA_000561385.1,9,11,20,F65057,2.838,JDLC01,61,2956,2817
GCA_000561405.1,0,10,10,M24400,2.8718,JDLD01,19,3006,2880
GCA_000561425.1,9,12,21,M24390,2.84972,JDLE01,72,2987,2831
GCA_000561445.1,9,11,20,M27449,2.72484,JDLF01,37,2802,2674
GCA_000561465.1,0,10,10,T71868,2.90211,JDLG01,42,3065,2922
GCA_000561485.1,0,10,10,T71872,2.90171,JDLH01,38,3066,2921
GCA_000561505.1,9,12,21,T71888,2.85171,JDLI01,59,2983,2818
GCA_000561525.1,0,10,10,H33602,2.91487,JDLJ01,25,3070,2937
GCA_000561545.1,0,10,10,H33636,2.89596,JDLK01,31,3034,2899
GCA_000561565.1,10,13,23,H33594,2.7826,JDLL01,49,2903,2767
GCA_000561585.1,9,10,19,F70893,2.81333,JDLM01,57,2923,2727
GCA_000561605.1,0,11,11,W60774,2.94037,JDLN01,37,3103,2970
GCA_000561625.1,10,12,22,W60784,2.78213,JDLO01,40,2886,2761
GCA_000561645.1,12,13,25,H30732,2.79408,JDLP01,45,2899,2758
GCA_000561665.1,2,11,13,W60801,2.81951,JDLQ01,31,2932,2810
GCA_000561685.1,0,10,10,F74139,2.91042,JDLR01,25,3060,2933
GCA_000561705.1,8,11,19,T78544,2.89987,JDLS01,69,3045,2888
GCA_000561725.1,11,14,25,F77005,2.82066,JDLT01,63,2936,2795
GCA_000561745.1,9,11,20,F77047,2.79068,JDLU01,77,2889,2689
GCA_000561765.1,11,12,23,H30737,2.83577,JDLV01,80,2967,2806
GCA_000561785.1,0,12,12,F76996,2.93972,JDLW01,40,3121,2958
GCA_000561805.1,9,11,20,F68118,2.86108,JDLX01,75,3006,2846
GCA_000561825.1,9,12,21,M36077,2.8636,JDLY01,74,3012,2861
GCA_000561845.1,0,10,10,H42737,2.85717,JDLZ01,23,2990,2864
GCA_000561865.1,2,10,12,H42759,2.82221,JDMA01,27,2950,2818
GCA_000561885.1,10,12,22,F80349,2.85307,JDMB01,81,3005,2845
GCA_000561905.1,9,12,21,F80358,2.83895,JDMC01,49,2994,2829
GCA_000561925.1,2,11,13,F80381,2.83814,JDMD01,16,2950,2822
GCA_000561945.1,10,12,22,F80375,2.82256,JDME01,48,2928,2788
GCA_000561965.1,12,13,25,T84594,2.80909,JDMF01,50,2922,2776
GCA_000561985.1,11,13,24,T84592,2.8204,JDMG01,60,2968,2781
GCA_000562005.1,11,13,24,T84595,2.82179,JDMH01,61,2953,2788
GCA_000562025.1,9,12,21,H45755,2.81509,JDMI01,56,2938,2782
GCA_000562045.1,1,11,12,H45765,2.84026,JDMJ01,30,2986,2812
GCA_000562065.1,10,13,23,H45760,2.831,JDMK01,55,2943,2796
GCA_000562085.1,11,12,23,F83251,2.78539,JDML01,50,2894,2750
GCA_000562105.1,11,14,25,F83269,2.78548,JDMM01,43,2889,2757
GCA_000562125.1,0,10,10,F83272,2.8713,JDMN01,21,3012,2889
GCA_000562145.1,1,10,11,T87526,2.86728,JDMO01,1,3018,2866
GCA_000562165.1,0,10,10,W73060,2.8775,JDMP01,2,3028,2874
GCA_000562185.1,10,14,24,H48649,2.77506,JDMQ01,40,2924,2753
GCA_000562205.1,1,11,12,H48646,2.86726,JDMR01,21,3002,2869
GCA_000562225.1,10,11,21,T81559,2.89121,JDMS01,81,3027,2861
GCA_000562245.1,9,12,21,T87965,2.72061,JDMT01,40,2817,2675
GCA_000562265.1,9,11,20,T87972,2.83128,JDMU01,64,2950,2802
GCA_000562285.1,10,12,22,F89441,2.82063,JDMV01,55,2935,2803
GCA_000562305.1,9,11,20,F89468,2.86467,JDMW01,75,3000,2828
GCA_000562325.1,0,10,10,T12923,2.92141,JDMX01,26,3100,2939
GCA_000562345.1,9,12,21,W79328,2.83487,JDMY01,50,2972,2837
GCA_000562365.1,9,11,20,H54403,2.83972,JDMZ01,56,2980,2828
GCA_000562385.1,9,11,20,F92753,2.83385,JDNA01,71,2955,2803
GCA_000562405.1,2,11,13,F92765,2.83454,JDNB01,31,2989,2824
GCA_000562425.1,8,11,19,S11444,2.8476,JDNC01,59,2996,2832
GCA_000562445.1,11,13,24,T16281,2.78915,JDND01,43,2902,2774
GCA_000562465.1,8,11,19,W82303,2.77568,JDNE01,48,2901,2730
GCA_000562485.1,10,12,22,H57815,2.827,JDNF01,64,2956,2811
GCA_000562505.1,11,12,23,W76127,2.69123,JDNG01,39,2780,2625
GCA_000562525.1,3,10,13,H71785,2.84974,JDNH01,24,2990,2860
GCA_000562545.1,3,10,13,H71781,2.83731,JDNI01,23,2979,2857
GCA_000562565.1,11,13,24,W20433,2.84753,JDNJ01,71,2994,2837
GCA_000562585.1,0,10,10,T45945,2.91678,JDNK01,25,3105,2942
GCA_000562615.1,10,13,23,T49833,2.82194,JDNM01,48,2983,2809
GCA_000562635.1,1,11,12,H23829,2.88991,JDNN01,26,3047,2882
GCA_000562655.1,1,11,12,H23830,2.87999,JDNO01,18,3011,2885
GCA_000562675.1,10,12,22,T72838,2.82252,JDNP01,52,2965,2810
GCA_000562695.1,24,14,38,W56227,2.76733,JDNQ01,59,2871,2696
GCA_000562715.1,24,14,38,W56243,2.76699,JDNR01,55,2878,2690
GCA_000562735.1,24,15,39,W56246,2.76736,JDNS01,59,2874,2688
GCA_000562755.1,9,12,21,F74023,2.88132,JDNT01,76,3030,2881
GCA_000562775.1,3,10,13,H37776,2.87075,JDNU01,27,3012,2874
GCA_000562795.1,3,10,13,H37781,2.85651,JDNV01,27,3003,2869
GCA_000562815.1,0,10,10,F77710,2.93126,JDNW01,29,3119,2945
GCA_000562835.1,10,12,22,H48052,2.72181,JDNX01,53,2821,2625
GCA_000562855.1,10,13,23,H48054,2.72185,JDNY01,58,2801,2628
GCA_000562875.1,0,10,10,S39407,2.92054,JDNZ01,25,3083,2944
GCA_000562895.1,3,10,13,F81035,2.87323,JDOA01,2,2990,2825
GCA_000562915.1,0,11,11,T12805,2.89023,JDOB01,39,3037,2896
GCA_000562935.1,0,11,11,T12818,2.8971,JDOC01,37,3043,2902
GCA_000562955.1,0,10,10,S39411,2.92856,JDOD01,26,3109,2941
GCA_000562975.1,10,13,23,T16117,2.82219,JDOE01,42,2944,2817
GCA_000562995.1,2,10,12,F19383,2.87448,JDOF01,28,3017,2878
GCA_000563015.1,3,11,14,F22893,2.82594,JDOG01,29,2957,2796
GCA_000563035.1,2,10,12,F22898,2.83287,JDOH01,28,2994,2829
GCA_000563055.1,0,10,10,F26088,2.85963,JDOI01,1,2970,2824
GCA_000563075.1,16,17,33,F32119,2.77101,JDOJ01,54,2916,2742
GCA_000563095.1,9,12,21,F35307,2.81227,JDOK01,59,2924,2769
GCA_000563115.1,2,10,12,F63154,2.86287,JDOL01,27,2987,2861
GCA_000563135.1,10,13,23,F63179,2.78853,JDOM01,45,2886,2759
GCA_000563155.1,11,12,23,F66300,2.79102,JDON01,48,2905,2765
GCA_000563175.1,11,14,25,F66307,2.81088,JDOO01,51,2913,2769
GCA_000563195.1,0,10,10,F74220,2.87323,JDOP01,2,3025,2873
GCA_000563215.1,10,13,23,F77930,2.78095,JDOQ01,34,2889,2744
GCA_000563235.1,10,11,21,H24637,2.84007,JDOR01,66,2962,2826
GCA_000563255.1,9,12,21,H24662,2.85255,JDOS01,42,3001,2853
GCA_000563275.1,10,11,21,H27858,2.84094,JDOT01,51,2970,2801
GCA_000563295.1,8,10,18,H27862,2.91528,JDOU01,70,3062,2895
GCA_000563315.1,8,10,18,H27872,2.90539,JDOV01,67,3044,2896
GCA_000563335.1,10,12,22,H31276,2.78012,JDOW01,35,2889,2758
GCA_000563355.1,0,10,10,H31290,2.87156,JDOX01,2,3021,2866
GCA_000563375.1,10,14,24,H34245,2.83217,JDOY01,59,2948,2811
GCA_000563395.1,9,11,20,H40569,2.87147,JDOZ01,65,2997,2849
GCA_000563415.1,0,10,10,H40575,2.88875,JDPA01,2,3028,2874
GCA_000563435.1,0,10,10,H40583,2.87487,JDPB01,2,3024,2866
GCA_000563455.1,9,11,20,H57821,2.84785,JDPC01,63,2976,2819
GCA_000563475.1,9,12,21,H57822,2.85763,JDPD01,64,2989,2828
GCA_000563495.1,9,11,20,H57823,2.8672,JDPE01,63,3029,2842
GCA_000563515.1,8,11,19,H61003,2.76824,JDPF01,48,2868,2728
GCA_000563535.1,10,13,23,H64299,2.82089,JDPG01,53,2947,2800
GCA_000563555.1,0,10,10,H64303,2.9035,JDPH01,31,3043,2914
GCA_000563575.1,8,10,18,H67656,2.90264,JDPI01,73,3041,2886
GCA_000563595.1,0,11,11,H70821,2.87627,JDPJ01,2,3027,2867
GCA_000563615.1,9,12,21,H70826,2.85442,JDPK01,72,2991,2819
GCA_000563635.1,10,12,22,H70834,2.87357,JDPL01,68,3022,2851
GCA_000563655.1,11,12,23,H74056,2.82908,JDPM01,64,2953,2807
GCA_000563675.1,0,10,10,H77094,2.92771,JDPN01,26,3117,2943
GCA_000563695.1,11,12,23,H77098,2.82107,JDPO01,49,2937,2788
GCA_000563715.1,10,12,22,H77102,2.78446,JDPP01,43,2892,2758
GCA_000563735.1,10,13,23,M16438,2.7426,JDPQ01,41,2827,2688
GCA_000563755.1,10,13,23,M28112,2.88046,JDPR01,70,3036,2877
GCA_000563775.1,0,11,11,M31588,2.92758,JDPS01,25,3090,2943
GCA_000563795.1,9,16,25,M39841,2.81438,JDPT01,46,2932,2797
GCA_000563815.1,10,11,21,M59498,2.86094,JDPU01,87,2990,2828
GCA_000563835.1,0,10,10,M65003,2.88438,JDPV01,2,3030,2876
GCA_000563855.1,0,9,9,M68467,2.9446,JDPW01,29,3109,2955
GCA_000563875.1,9,13,22,M68475,2.86188,JDPX01,77,3006,2842
GCA_000563895.1,0,10,10,M71813,2.9252,JDPY01,31,3117,2946
GCA_000563915.1,2,10,12,M74952,2.88754,JDPZ01,32,3046,2870
GCA_000563935.1,0,10,10,T26751,2.87644,JDQA01,2,3029,2870
GCA_000563955.1,0,10,10,T30033,2.87048,JDQB01,21,3005,2881
GCA_000563975.1,9,12,21,T33139,2.83207,JDQC01,57,2992,2814
GCA_000563995.1,0,10,10,T33147,2.8979,JDQD01,33,3061,2924
GCA_000564015.1,0,10,10,T39328,2.90368,JDQE01,31,3074,2943
GCA_000564035.1,11,15,26,T39363,2.78816,JDQF01,49,2888,2744
GCA_000564055.1,9,12,21,T42722,2.84352,JDQG01,58,2955,2803
GCA_000564075.1,0,12,12,T62346,2.86976,JDQH01,24,3007,2875
GCA_000564095.1,12,14,26,T69686,2.78469,JDQI01,42,2884,2741
GCA_000564115.1,11,13,24,T69703,2.82154,JDQJ01,48,2960,2817
GCA_000564135.1,2,11,13,T69716,2.8163,JDQK01,31,2952,2784
GCA_000564155.1,14,14,28,T69721,2.78604,JDQL01,59,2900,2756
GCA_000564175.1,10,11,21,T72876,2.83731,JDQM01,71,2969,2809
GCA_000564195.1,10,13,23,T72889,2.82965,JDQN01,48,2958,2813
GCA_000564215.1,10,12,22,T76010,2.73576,JDQO01,40,2818,2690
GCA_000564235.1,11,13,24,T76018,2.80439,JDQP01,49,2910,2768
GCA_000564255.1,0,10,10,T76030,2.89684,JDQQ01,32,3053,2917
GCA_000564275.1,10,12,22,T79159,2.8172,JDQR01,53,2942,2809
GCA_000564295.1,9,11,20,T82627,2.83122,JDQS01,65,2958,2806
GCA_000564315.1,11,14,25,T86006,2.72937,JDQT01,38,2814,2683
GCA_000564335.1,11,12,23,T86045,2.82279,JDQU01,43,2925,2786
GCA_000564355.1,10,11,21,T86048,2.85812,JDQV01,67,2980,2824
GCA_000564385.1,9,12,21,T86055,2.84304,JDQW01,59,2968,2823
GCA_000564405.1,0,10,10,W12628,2.8585,JDQX01,28,3021,2854
GCA_000564425.1,0,10,10,W15997,2.86009,JDQY01,1,3003,2850
GCA_000564445.1,10,13,23,W16001,2.83188,JDQZ01,53,2967,2822
GCA_000564465.1,10,12,22,W16013,2.82343,JDRA01,50,2950,2823
GCA_000564485.1,9,12,21,W21932,2.72801,JDRB01,62,2834,2637
GCA_000564505.1,10,12,22,W21940,2.78752,JDRC01,43,2898,2746
GCA_000564525.1,10,14,24,W21945,2.8292,JDRD01,70,2965,2817
GCA_000564545.1,9,12,21,W52104,2.85636,JDRE01,69,3019,2835
GCA_000564565.1,10,13,23,W52117,2.82399,JDRF01,46,2964,2795
GCA_000564585.1,10,14,24,W52120,2.82025,JDRG01,50,2930,2787
GCA_000564605.1,8,10,18,W55442,2.83697,JDRH01,58,2959,2803
GCA_000564625.1,10,12,22,W55446,2.83233,JDRI01,68,2954,2811
GCA_000564645.1,10,12,22,W55451,2.83693,JDRJ01,73,2959,2809
GCA_000564665.1,10,11,21,W58473,2.84313,JDRK01,57,2961,2809
GCA_000564685.1,9,11,20,W64953,2.84851,JDRL01,60,2982,2833
GCA_000564715.1,9,12,21,W68479,2.84735,JDRM01,66,2968,2818
GCA_000564735.1,14,12,26,W85432,2.77791,JDRN01,73,2885,2731
GCA_000564755.1,1,11,12,W85440,2.87291,JDRO01,2,3023,2868
GCA_000564775.1,10,12,22,W88551,2.73977,JDRP01,40,2824,2699
GCA_000564795.1,2,11,13,W88555,2.82852,JDRQ01,21,2965,2804
GCA_000564815.1,10,12,22,W91963,2.82904,JDRR01,59,2957,2807
GCA_000565095.1,3,13,16,H79477,2.85367,JDNL01,71,3010,2836
GCA_000569135.1,10,13,23,W50101,2.78984,JDZS01,37,2897,2742
GCA_000569155.1,0,10,10,W50092,2.93113,JDZT01,16,3087,2925
GCA_000569175.1,0,10,10,W46883,2.91377,JDZU01,9,3074,2913
GCA_000569195.1,2,10,12,W36570,2.84997,JDZV01,11,2985,2825
GCA_000569215.1,1,10,11,W36553,2.89721,JDZW01,9,3062,2890
GCA_000569235.1,0,10,10,W33592,2.85994,JDZX01,33,2994,2863
GCA_000569255.1,0,10,10,W33578,2.9335,JDZY01,10,3090,2920
GCA_000569275.1,15,12,27,W33563,2.78287,JDZZ01,47,2874,2727
GCA_000569295.1,9,12,21,W29651,2.85802,JEAA01,29,3019,2853
GCA_000569315.1,0,10,10,W23225,2.91245,JEAB01,8,3087,2925
GCA_000569335.1,15,17,32,W23214,2.79373,JEAC01,38,2923,2762
GCA_000569355.1,0,10,10,W23207,2.8982,JEAD01,11,3053,2887
GCA_000569375.1,9,11,20,T67327,2.88184,JEAE01,52,3012,2861
GCA_000569395.1,2,11,13,T64318,2.84752,JEAF01,15,3002,2836
GCA_000569415.1,10,13,23,T60805,2.84003,JEAG01,51,2967,2831
GCA_000569435.1,1,10,11,T57415,2.87442,JEAH01,9,3025,2869
GCA_000569455.1,10,12,22,T57397,2.80986,JEAI01,37,2942,2783
GCA_000569475.1,0,10,10,T54294,2.89162,JEAJ01,12,3040,2875
GCA_000569495.1,0,10,10,T54280,2.89585,JEAK01,9,3055,2893
GCA_000569515.1,1,11,12,T51022,2.80072,JEAL01,6,2918,2771
GCA_000569535.1,2,10,12,T51001,2.84986,JEAM01,16,2999,2835
GCA_000569555.1,2,10,12,T44834,2.85226,JEAN01,14,3004,2837
GCA_000569575.1,9,11,20,T44830,2.88695,JEAO01,42,3018,2868
GCA_000569595.1,0,10,10,T44811,2.93701,JEAP01,11,3098,2935
GCA_000569615.1,11,14,25,T44461,2.78057,JEAQ01,42,2912,2745
GCA_000569635.1,24,14,38,T44444,2.77206,JEAR01,40,2879,2700
GCA_000569655.1,10,13,23,T40867,2.82804,JEAS01,28,2929,2790
GCA_000569675.1,10,14,24,M91160,2.80982,JEAT01,29,2910,2773
GCA_000569695.1,12,15,27,M91155,2.82193,JEAU01,36,2921,2776
GCA_000569715.1,0,10,10,M91141,2.91903,JEAV01,13,3090,2934
GCA_000569735.1,11,12,23,M87665,2.85195,JEAW01,46,2985,2816
GCA_000569755.1,12,13,25,M87641,2.8235,JEAX01,28,2955,2794
GCA_000569775.1,9,12,21,M80979,2.91009,JEAY01,51,3059,2907
GCA_000569795.1,11,12,23,M77238,2.82076,JEAZ01,56,2966,2791
GCA_000569815.1,0,10,10,M77229,2.91727,JEBA01,12,3073,2910
GCA_000569835.1,0,10,10,M77225,2.89648,JEBB01,10,3052,2892
GCA_000569855.1,0,10,10,M77210,2.90979,JEBC01,22,3069,2944
GCA_000569875.1,0,10,10,M20198,2.88272,JEBD01,13,3031,2873
GCA_000569895.1,1,10,11,M20180,2.93338,JEBE01,14,3117,2951
GCA_000569915.1,9,12,21,M16586,2.86059,JEBF01,32,2985,2850
GCA_000569935.1,10,12,22,M13065,2.81996,JEBG01,23,2931,2791
GCA_000569955.1,10,12,22,M13060,2.82207,JEBH01,27,2926,2783
GCA_000569975.1,6,12,18,H91384,2.82269,JEBI01,20,2988,2828
GCA_000569995.1,10,12,22,H87668,2.88598,JEBJ01,46,3019,2877
GCA_000570015.1,9,12,21,H87628,2.93502,JEBK01,61,3092,2934
GCA_000570035.1,10,11,21,H85003,2.87912,JEBL01,37,3043,2865
GCA_000570055.1,9,11,20,H84980,2.90236,JEBM01,43,3049,2869
GCA_000570075.1,9,11,20,H84973,2.75033,JEBN01,24,2832,2700
GCA_000570095.1,10,13,23,H25872,2.80395,JEBO01,27,2936,2777
GCA_000570115.1,0,10,10,H12930,2.83021,JEBP01,8,2973,2820
GCA_000570135.1,9,11,20,H12893,2.89369,JEBQ01,45,2996,2841
GCA_000570155.1,11,13,24,F60346,2.81513,JEBR01,31,2931,2789
GCA_000570175.1,11,13,24,F57036,2.87795,JEBS01,55,3017,2872
GCA_000570195.1,10,14,24,F57033,2.8485,JEBT01,46,2966,2830
GCA_000570215.1,10,13,23,F57021,2.82479,JEBU01,30,2968,2795
GCA_000570235.1,9,11,20,F53388,2.9223,JEBV01,44,3065,2914
GCA_000570255.1,10,13,23,F43252,2.79408,JEBW01,49,2910,2758
GCA_000570275.1,9,12,21,F43221,2.87759,JEBX01,45,3004,2869
GCA_000570295.1,9,11,20,F43212,2.85436,JEBY01,73,2975,2820
GCA_000570315.1,10,14,24,F43199,2.80745,JEBZ01,32,2901,2760
GCA_000570335.1,0,10,10,F36699,2.90244,JECA01,11,3064,2895
GCA_000570355.1,0,9,9,F36687,3.00014,JECB01,15,3209,3052
GCA_000570375.1,9,11,20,F36683,2.83676,JECC01,68,2979,2828
GCA_000570395.1,9,12,21,W92106,2.91736,JECD01,51,3067,2913
GCA_000570415.1,2,10,12,W81816,2.93514,JECE01,9,3114,2956
GCA_000570435.1,10,11,21,W75539,2.889,JECF01,48,3021,2876
GCA_000570455.1,5,12,17,W75119,2.82372,JECG01,16,2964,2813
GCA_000570475.1,9,12,21,W75113,2.93152,JECH01,61,3083,2932
GCA_000570495.1,9,11,20,W75098,2.91382,JECI01,43,3087,2912
GCA_000570515.1,0,10,10,W64958,2.94364,JECJ01,21,3130,2965
GCA_000570535.1,9,12,21,W20096,2.86486,JECK01,30,3025,2851
GCA_000570555.1,12,14,26,W16028,2.81276,JECL01,31,2943,2777
GCA_000570575.1,0,10,10,T92889,2.89197,JECM01,14,3047,2881
GCA_000570595.1,10,11,21,T92876,2.84281,JECN01,50,2988,2822
GCA_000570615.1,9,12,21,T89467,2.8504,JECO01,38,2962,2832
GCA_000570635.1,10,12,22,T89463,2.89117,JECP01,82,3056,2870
GCA_000570655.1,9,12,21,T37840,2.86704,JECQ01,49,2984,2855
GCA_000570675.1,0,10,10,T34036,2.94386,JECR01,14,3130,2962
GCA_000570695.1,8,10,18,T34011,2.94522,JECS01,52,3077,2928
GCA_000570715.1,0,10,10,T30565,2.91084,JECT01,8,3087,2924
GCA_000570735.1,11,13,24,T23868,2.82003,JECU01,41,2938,2804
GCA_000570755.1,0,10,10,T20142,2.87181,JECV01,4,3018,2865
GCA_000570775.1,9,12,21,T20118,2.89186,JECW01,35,3034,2847
GCA_000570795.1,10,14,24,T17141,2.88401,JECX01,45,2994,2847
GCA_000570815.1,9,11,20,T17131,2.85236,JECY01,33,2970,2844
GCA_000570835.1,9,12,21,T16676,2.87747,JECZ01,50,3019,2856
GCA_000570855.1,0,10,10,T16669,2.96874,JEDA01,25,3151,2971
GCA_000570875.1,0,10,10,T16664,2.89807,JEDB01,8,3047,2889
GCA_000570895.1,0,10,10,S56450,2.96442,JEDC01,18,3141,2969
GCA_000570915.1,2,10,12,M73703,2.91256,JEDD01,16,3088,2919
GCA_000570935.1,2,10,12,M73702,2.84511,JEDE01,9,2985,2821
GCA_000570955.1,9,11,20,M70099,2.85278,JEDF01,31,3007,2860
GCA_000570975.1,0,10,10,M70073,2.94706,JEDG01,13,3131,2963
GCA_000570995.1,9,11,20,M66673,2.89338,JEDH01,36,3009,2872
GCA_000571015.1,0,11,11,M66661,2.89454,JEDI01,10,3055,2894
GCA_000571035.1,9,11,20,M62699,2.86133,JEDJ01,38,2971,2833
GCA_000571055.1,0,10,10,M56985,2.89834,JEDK01,14,3054,2897
GCA_000571075.1,0,10,10,M53327,2.88537,JEDL01,13,3035,2875
GCA_000571095.1,0,10,10,M46077,2.8853,JEDM01,18,3040,2869
GCA_000571115.1,9,11,20,M46070,2.86536,JEDN01,58,3026,2845
GCA_000571135.1,10,14,24,M46066,2.81031,JEDO01,29,2915,2789
GCA_000571155.1,2,10,12,H75143,2.84955,JEDP01,15,3002,2838
GCA_000571175.1,0,10,10,H71553,2.88438,JEDQ01,12,3039,2875
GCA_000571195.1,0,10,10,H71538,2.89956,JEDR01,11,3062,2893
